priority_rank,county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county,prevalence_percentile,distance_percentile,priority_score,priority_group
48,48455,Trinity,14228,16.4,"(14.2, 18.7)",11.8,0,0,0.0,No,31.0887494,-95.1357275,57.0,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,81.8,61.3,71.5,Moderate priority
49,48005,Angelina,87319,14.9,"(13.0, 16.8)",13.0,0,0,0.0,No,31.2547805,-94.6115821,82.2,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,60.1,82.2,71.1,Moderate priority
50,48483,Wheeler,4804,14.7,"(13.4, 16.1)",11.8,0,0,0.0,No,35.4011867,-100.2696463,88.9,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,56.1,86.2,71.1,Moderate priority
51,48297,Live Oak,11584,16.2,"(14.2, 18.7)",14.2,0,0,0.0,No,28.3511164,-98.1246989,58.5,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,79.1,62.1,70.6,Moderate priority
52,48463,Uvalde,24960,15.7,"(13.7, 17.8)",14.6,0,0,0.0,No,29.3572603,-99.7622112,60.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr,73.9,67.2,70.6,Moderate priority
53,48017,Bailey,6672,15.5,"(14.2, 16.9)",14.3,0,0,0.0,No,34.0683609,-102.8299151,65.4,NCT06580964,Texas Tech University,Lubbock,Lubbock,70.0,71.1,70.6,Moderate priority
54,48505,Zapata,13736,20.8,"(18.2, 23.4)",20.1,0,0,0.0,No,27.0005706,-99.1685002,40.7,NCT06112418,Aeres Clinical Research,Laredo,Webb,97.6,43.1,70.4,Moderate priority
55,48495,Winkler,7414,14.1,"(12.3, 16.2)",13.3,0,0,0.0,No,31.8499901,-103.0482297,138.1,NCT06580964,Texas Tech University,Lubbock,Lubbock,44.7,96.0,70.4,Moderate priority
56,48289,Leon,16538,15.3,"(13.2, 17.5)",11.4,0,0,0.0,No,31.2964125,-95.9958804,70.1,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan,64.8,75.5,70.2,Moderate priority
57,48283,La Salle,6537,15.5,"(13.4, 17.4)",16.6,0,0,0.0,No,28.3449024,-99.0996759,63.1,NCT06112418,Aeres Clinical Research,Laredo,Webb,70.0,70.0,70.0,Moderate priority
58,48369,Parmer,9617,15.0,"(12.9, 16.9)",13.5,0,0,0.0,No,34.5300207,-102.7845398,72.1,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,61.7,78.3,70.0,Moderate priority
59,48111,Dallam,7237,14.7,"(12.8, 16.6)",14.6,0,0,0.0,No,36.2779506,-102.6021854,84.8,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,56.1,83.4,69.8,Moderate priority
60,48385,Real,2854,18.3,"(15.8, 20.8)",12.6,0,0,0.0,No,29.8316387,-99.8221471,43.5,NCT07564414,Sante Clinical Research,Kerrville,Kerr,93.3,45.5,69.4,Moderate priority
61,48433,Stonewall,1218,15.8,"(14.4, 17.3)",11.5,0,0,0.0,No,33.1790412,-100.2533038,58.8,NCT06112418,Hendrick Health,Abilene,Taylor,75.1,63.2,69.2,Moderate priority
62,48153,Floyd,5090,17.0,"(15.6, 18.5)",14.4,0,0,0.0,No,34.0722966,-101.3032353,46.6,NCT06580964,Texas Tech University,Lubbock,Lubbock,87.4,50.6,69.0,Moderate priority
63,48437,Swisher,6955,16.6,"(14.4, 18.8)",15.5,0,0,0.0,No,34.530295,-101.7350259,48.1,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,85.4,52.6,69.0,Moderate priority
64,48267,Kimble,4442,16.6,"(14.2, 19.0)",11.7,0,0,0.0,No,30.4868159,-99.7485974,47.3,NCT07564414,Sante Clinical Research,Kerrville,Kerr,85.4,51.8,68.6,Moderate priority
65,48249,Jim Wells,38662,18.0,"(15.5, 20.5)",16.2,0,0,0.0,No,27.7309179,-98.0900524,42.7,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,91.7,45.1,68.4,Moderate priority
66,48175,Goliad,7144,15.6,"(13.5, 17.8)",11.6,0,0,0.0,No,28.6570383,-97.4265102,59.2,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,72.3,64.0,68.2,Moderate priority
67,48117,Deaf Smith,18347,16.4,"(14.3, 18.8)",16.0,0,0,0.0,No,34.9660914,-102.6049268,47.2,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,81.8,51.4,66.6,Moderate priority
68,48427,Starr,65934,20.0,"(17.6, 22.6)",20.5,0,0,0.0,No,26.5621294,-98.7384538,35.0,NCT07296484,"Texas Valley Clinical Research - Mission, TX",Mission,Hidalgo,97.2,35.6,66.4,Moderate priority
69,48357,Ochiltree,9704,14.1,"(12.9, 15.4)",13.5,0,0,0.0,No,36.2783114,-100.8156536,92.6,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,44.7,88.1,66.4,Moderate priority
70,48279,Lamb,12711,16.6,"(14.4, 18.7)",14.3,0,0,0.0,No,34.0684889,-102.3517082,44.3,NCT06580964,Texas Tech University,Lubbock,Lubbock,85.4,47.0,66.2,Moderate priority
71,48345,Motley,1020,14.7,"(13.2, 16.2)",10.5,0,0,0.0,No,34.0739682,-100.7798314,70.6,NCT06580964,Texas Tech University,Lubbock,Lubbock,56.1,75.9,66.0,Moderate priority
72,48391,Refugio,6666,17.6,"(15.5, 19.9)",14.0,0,0,0.0,No,28.3215627,-97.1596971,38.8,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,90.5,41.1,65.8,Moderate priority
73,48447,Throckmorton,1526,15.4,"(13.8, 17.0)",11.0,0,0,0.0,No,33.1773997,-99.2123671,58.7,NCT06112418,Hendrick Health,Abilene,Taylor,68.0,62.5,65.2,Moderate priority
74,48469,Victoria,91664,14.5,"(12.6, 16.5)",12.9,0,0,0.0,No,28.7962401,-96.9715192,73.5,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,50.6,79.8,65.2,Moderate priority
75,48489,Willacy,20037,18.8,"(16.3, 21.3)",19.0,0,0,0.0,No,26.4770723,-97.5916647,33.1,NCT06897475,Texas Valley Clinical Research,Weslaco,Hidalgo,95.7,33.6,64.6,Moderate priority
76,48241,Jasper,32694,16.3,"(14.1, 18.7)",12.9,0,0,0.0,No,30.7433371,-94.0249347,45.6,NCT06112418,Gadolin Research,Beaumont,Jefferson,79.4,49.0,64.2,Moderate priority
77,48069,Castro,7227,15.5,"(12.9, 18.2)",13.7,0,0,0.0,No,34.5298696,-102.2616709,53.7,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,70.0,58.5,64.2,Moderate priority
78,48239,Jackson,15221,14.7,"(12.7, 16.6)",12.1,0,0,0.0,No,28.9541412,-96.5775003,65.6,NCT07215559,Aavon Clinical Trials,Richmond,Fort Bend,56.1,71.9,64.0,Moderate priority
79,48285,Lavaca,20571,14.6,"(12.7, 16.8)",11.1,0,0,0.0,No,29.3842759,-96.9300707,69.8,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,52.2,74.7,63.4,Moderate priority
80,48095,Concho,3297,14.2,"(12.9, 15.6)",12.7,0,0,0.0,No,31.3263782,-99.8639354,77.9,NCT06112418,Hendrick Health,Abilene,Taylor,45.8,81.0,63.4,Moderate priority
81,48115,Dawson,12004,15.3,"(13.3, 17.5)",15.3,0,0,0.0,No,32.742441,-101.9476834,58.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,64.8,61.7,63.2,Moderate priority
82,48057,Calhoun,19696,14.7,"(12.8, 16.7)",12.2,0,0,0.0,No,28.4389341,-96.615179,64.9,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,56.1,70.4,63.2,Moderate priority
83,48353,Nolan,14306,16.5,"(14.3, 18.9)",14.0,0,0,0.0,No,32.3034029,-100.4060537,40.5,NCT06112418,Hendrick Health,Abilene,Taylor,83.4,42.7,63.0,Moderate priority
84,48235,Irion,1549,13.4,"(11.9, 15.0)",10.3,0,0,0.0,No,31.3038645,-100.9824216,107.8,NCT06112418,Hendrick Health,Abilene,Taylor,32.0,92.1,62.1,Moderate priority
85,48445,Terry,11547,16.4,"(14.3, 18.5)",15.1,0,0,0.0,No,33.1737316,-102.3351975,39.3,NCT06580964,Texas Tech University,Lubbock,Lubbock,81.8,41.9,61.9,Moderate priority
86,48067,Cass,28659,15.7,"(13.6, 18.0)",12.0,0,0,0.0,No,33.0775152,-94.3436219,46.0,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,73.9,49.8,61.9,Moderate priority
87,48163,Frio,17987,15.3,"(13.4, 17.3)",16.5,0,0,0.0,No,28.8677769,-99.1082662,53.4,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar,64.8,58.1,61.5,Moderate priority
88,48227,Howard,30554,13.7,"(11.9, 15.7)",13.1,0,0,0.0,No,32.306085,-101.4355114,91.2,NCT06580964,Texas Tech University,Lubbock,Lubbock,35.2,87.7,61.5,Moderate priority
89,48449,Titus,31357,15.6,"(13.5, 17.7)",14.0,0,0,0.0,No,33.2165246,-94.9656567,45.8,NCT07662109,Research Site,Paris,Lamar,72.3,49.4,60.9,Moderate priority
90,48373,Polk,54186,15.4,"(13.4, 17.9)",12.5,0,0,0.0,No,30.7925352,-94.8299647,49.9,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,68.0,53.8,60.9,Moderate priority
91,48315,Marion,9571,18.1,"(15.9, 20.5)",12.8,0,0,0.0,No,32.7980833,-94.3571974,30.3,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,92.1,29.2,60.7,Moderate priority
92,48083,Coleman,7842,15.4,"(13.3, 17.6)",11.3,0,0,0.0,No,31.7729545,-99.4536074,49.5,NCT06112418,Hendrick Health,Abilene,Taylor,68.0,53.4,60.7,Moderate priority
93,48107,Crosby,4917,17.1,"(15.0, 19.4)",14.6,0,0,0.0,No,33.6145373,-101.2999572,32.1,NCT06580964,Texas Tech University,Lubbock,Lubbock,87.7,33.2,60.5,Moderate priority
94,48395,Robertson,17267,15.4,"(13.4, 17.5)",12.3,0,0,0.0,No,31.026874,-96.5129529,49.4,NCT06906627,Baylor Scott & White,Temple,Bell,68.0,53.0,60.5,Moderate priority
95,48161,Freestone,20441,14.7,"(12.7, 17.0)",11.9,0,0,0.0,No,31.7048148,-96.1490536,59.7,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan,56.1,64.8,60.5,Moderate priority
96,48043,Brewster,9513,12.8,"(11.0, 14.9)",10.5,0,0,0.0,No,29.8108828,-103.2516868,234.5,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso,20.9,100.0,60.5,Moderate priority
97,48343,Morris,12066,15.9,"(13.8, 18.0)",12.5,0,0,0.0,No,33.113335,-94.7326275,42.3,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,76.3,44.3,60.3,Moderate priority
98,48229,Hudspeth,3451,14.3,"(13.1, 15.5)",17.4,0,0,0.0,No,31.455311,-105.3857766,68.1,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso,47.0,73.1,60.1,Moderate priority
99,48177,Gonzales,19930,16.0,"(14.1, 18.3)",13.7,0,0,0.0,No,29.4566212,-97.4927541,39.9,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays,77.1,42.3,59.7,Moderate priority
100,48457,Tyler,20382,15.3,"(13.2, 17.6)",12.7,0,0,0.0,No,30.7710932,-94.3764471,50.1,NCT06112418,Gadolin Research,Beaumont,Jefferson,64.8,54.2,59.5,Moderate priority
101,48001,Anderson,57736,13.9,"(11.9, 15.8)",13.0,0,0,0.0,No,31.8132355,-95.65237,71.4,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,39.9,77.1,58.5,Moderate priority
102,48135,Ector,164494,12.8,"(11.1, 14.7)",13.6,0,0,0.0,No,31.8690912,-102.5427493,124.6,NCT06580964,Texas Tech University,Lubbock,Lubbock,20.9,94.9,57.9,Moderate priority
103,48287,Lee,18240,15.4,"(13.3, 17.7)",12.4,0,0,0.0,No,30.3106142,-96.9656155,44.6,NCT06267391,"Texas Diabetes & Endocrinology, P.A.",Round Rock,Williamson,68.0,47.4,57.7,Moderate priority
104,48063,Camp,13000,16.1,"(14.1, 18.0)",13.7,0,0,0.0,No,32.9732416,-94.9784572,35.5,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,78.7,36.4,57.5,Moderate priority
105,48207,Haskell,5385,14.9,"(12.8, 17.0)",12.3,0,0,0.0,No,33.1781414,-99.7302978,50.4,NCT06112418,Hendrick Health,Abilene,Taylor,60.1,54.9,57.5,Moderate priority
106,48195,Hansford,5071,13.6,"(11.7, 15.6)",12.3,0,0,0.0,No,36.2773499,-101.3545392,77.7,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,34.4,80.6,57.5,Moderate priority
107,48299,Llano,22875,15.7,"(13.4, 18.1)",10.1,0,0,0.0,No,30.7056914,-98.6840712,38.7,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas,73.9,40.3,57.1,Moderate priority
108,48387,Red River,11678,16.9,"(14.7, 19.3)",12.5,0,0,0.0,No,33.6205414,-95.0502272,29.2,NCT07662109,Research Site,Paris,Lamar,87.0,26.5,56.7,Moderate priority
109,48293,Limestone,22250,16.1,"(14.0, 18.4)",13.1,0,0,0.0,No,31.5453356,-96.5803599,33.3,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan,78.7,34.0,56.3,Moderate priority
110,48073,Cherokee,52217,14.7,"(12.6, 16.8)",12.6,0,0,0.0,No,31.8366722,-95.1649589,52.2,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,56.1,56.5,56.3,Moderate priority
111,48415,Scurry,16212,13.6,"(11.8, 15.5)",12.4,0,0,0.0,No,32.7462279,-100.9164059,71.9,NCT06112418,Hendrick Health,Abilene,Taylor,34.4,77.9,56.1,Moderate priority
112,48349,Navarro,55635,15.3,"(13.4, 17.6)",13.5,0,0,0.0,No,32.0469348,-96.4726004,43.7,NCT06267391,Epic Medical Research,DeSoto,Dallas,64.8,46.2,55.5,Moderate priority
113,48003,Andrews,18664,12.7,"(10.9, 14.6)",12.9,0,0,0.0,No,32.305106,-102.6378152,99.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,19.8,90.1,54.9,Moderate priority
114,48037,Bowie,91687,13.8,"(11.9, 15.8)",12.1,0,0,0.0,No,33.4458022,-94.4232272,66.9,NCT07662109,Research Site,Paris,Lamar,37.2,72.3,54.7,Moderate priority
115,48503,Young,18124,13.4,"(11.4, 15.5)",10.8,0,0,0.0,No,33.1766098,-98.6877651,71.8,NCT06112418,Privia Medical Group- North Texas,Stephenville,Erath,32.0,77.5,54.7,Moderate priority
116,48129,Donley,3214,14.0,"(12.1, 16.1)",10.9,0,0,0.0,No,34.9653333,-100.8139945,60.2,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,42.3,66.4,54.3,Moderate priority
117,48009,Archer,9029,12.7,"(11.5, 14.0)",9.9,0,0,0.0,No,33.6152077,-98.6876743,93.8,NCT07228117,Revival Research Institute,Denton,Denton,19.8,88.5,54.2,Moderate priority
118,48007,Aransas,25374,15.9,"(13.8, 18.5)",11.4,0,0,0.0,No,28.0846235,-96.9915161,31.6,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces,76.3,31.2,53.8,Moderate priority
119,48051,Burleson,19475,14.0,"(11.9, 16.2)",11.0,0,0,0.0,No,30.4924775,-96.6213996,59.9,NCT06906627,Baylor Scott & White,Temple,Bell,42.3,65.2,53.8,Moderate priority
120,48077,Clay,10738,13.2,"(11.2, 15.2)",9.8,0,0,0.0,No,33.785201,-98.208449,73.4,NCT07228117,Revival Research Institute,Denton,Denton,28.1,79.4,53.8,Moderate priority
121,48061,Cameron,426710,18.3,"(16.3, 20.6)",17.5,3,2,0.703,Yes,26.1508778,-97.4520381,17.4,NCT07064473,South Texas Research Institute - Brownsville,Brownsville,Cameron,93.3,13.4,53.4,Lower priority
122,48189,Hale,31761,15.6,"(13.6, 17.7)",15.0,0,0,0.0,No,34.0703796,-101.8268812,34.1,NCT06580964,Texas Tech University,Lubbock,Lubbock,72.3,34.4,53.4,Moderate priority
