county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county
48419,Shelby,24179,16.4,"(14.3, 18.6)",13.7,0,0,0.0,No,31.7924137,-94.1448795,60.1,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48407,San Jacinto,28936,16.4,"(14.3, 18.6)",12.7,0,0,0.0,No,30.5794184,-95.1667871,25.3,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery
48321,Matagorda,36359,16.4,"(14.3, 18.6)",13.9,0,0,0.0,No,28.7854986,-96.0042314,57.0,NCT07215559,Aavon Clinical Trials,Richmond,Fort Bend
48455,Trinity,14228,16.4,"(14.2, 18.7)",11.8,0,0,0.0,No,31.0887494,-95.1357275,57.0,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery
48445,Terry,11547,16.4,"(14.3, 18.5)",15.1,0,0,0.0,No,33.1737316,-102.3351975,39.3,NCT06580964,Texas Tech University,Lubbock,Lubbock
48117,Deaf Smith,18347,16.4,"(14.3, 18.8)",16.0,0,0,0.0,No,34.9660914,-102.6049268,47.2,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48241,Jasper,32694,16.3,"(14.1, 18.7)",12.9,0,0,0.0,No,30.7433371,-94.0249347,45.6,NCT06112418,Gadolin Research,Beaumont,Jefferson
48297,Live Oak,11584,16.2,"(14.2, 18.7)",14.2,0,0,0.0,No,28.3511164,-98.1246989,58.5,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48293,Limestone,22250,16.1,"(14.0, 18.4)",13.1,0,0,0.0,No,31.5453356,-96.5803599,33.3,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan
48479,Webb,269148,16.1,"(13.9, 18.5)",16.8,2,2,0.743,Yes,27.7608783,-99.3308239,20.6,NCT06112418,Aeres Clinical Research,Laredo,Webb
48063,Camp,13000,16.1,"(14.1, 18.0)",13.7,0,0,0.0,No,32.9732416,-94.9784572,35.5,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48145,Falls,17286,16.1,"(14.1, 18.4)",13.8,0,0,0.0,No,31.2532255,-96.9359425,23.9,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan
48123,DeWitt,19929,16.0,"(13.9, 18.3)",13.1,0,0,0.0,No,29.0820618,-97.3569497,65.6,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays
48177,Gonzales,19930,16.0,"(14.1, 18.3)",13.7,0,0,0.0,No,29.4566212,-97.4927541,39.9,NCT06112418,"Privia Medical Group Gulf Coast, PLLC ( Javara Inc.)",San Marcos,Hays
48007,Aransas,25374,15.9,"(13.8, 18.5)",11.4,0,0,0.0,No,28.0846235,-96.9915161,31.6,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48081,Coke,3352,15.9,"(13.7, 18.3)",11.8,0,0,0.0,No,31.8885101,-100.5299077,60.6,NCT06112418,Hendrick Health,Abilene,Taylor
48343,Morris,12066,15.9,"(13.8, 18.0)",12.5,0,0,0.0,No,33.113335,-94.7326275,42.3,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48433,Stonewall,1218,15.8,"(14.4, 17.3)",11.5,0,0,0.0,No,33.1790412,-100.2533038,58.8,NCT06112418,Hendrick Health,Abilene,Taylor
48271,Kinney,3148,15.8,"(13.7, 18.1)",13.2,0,0,0.0,No,29.3500984,-100.417973,90.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48355,Nueces,352289,15.8,"(14.0, 17.7)",14.5,4,3,1.135,Yes,27.7351971,-97.5162239,8.6,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48463,Uvalde,24960,15.7,"(13.7, 17.8)",14.6,0,0,0.0,No,29.3572603,-99.7622112,60.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48299,Llano,22875,15.7,"(13.4, 18.1)",10.1,0,0,0.0,No,30.7056914,-98.6840712,38.7,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas
48067,Cass,28659,15.7,"(13.6, 18.0)",12.0,0,0,0.0,No,33.0775152,-94.3436219,46.0,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48019,Bandera,22637,15.7,"(13.6, 18.0)",10.8,0,0,0.0,No,29.7473184,-99.2461378,21.7,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48175,Goliad,7144,15.6,"(13.5, 17.8)",11.6,0,0,0.0,No,28.6570383,-97.4265102,59.2,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48465,Val Verde,47720,15.6,"(13.5, 17.8)",15.7,0,0,0.0,No,29.8926676,-101.1511688,120.8,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48449,Titus,31357,15.6,"(13.5, 17.7)",14.0,0,0,0.0,No,33.2165246,-94.9656567,45.8,NCT07662109,Research Site,Paris,Lamar
48275,Knox,3302,15.6,"(14.2, 17.1)",12.5,0,0,0.0,No,33.6060545,-99.74139,80.0,NCT06112418,Hendrick Health,Abilene,Taylor
48245,Jefferson,251496,15.6,"(13.7, 17.8)",14.2,1,1,0.398,Yes,29.8535898,-94.1533526,16.4,NCT06112418,Gadolin Research,Beaumont,Jefferson
48189,Hale,31761,15.6,"(13.6, 17.7)",15.0,0,0,0.0,No,34.0703796,-101.8268812,34.1,NCT06580964,Texas Tech University,Lubbock,Lubbock
48069,Castro,7227,15.5,"(12.9, 18.2)",13.7,0,0,0.0,No,34.5298696,-102.2616709,53.7,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48017,Bailey,6672,15.5,"(14.2, 16.9)",14.3,0,0,0.0,No,34.0683609,-102.8299151,65.4,NCT06580964,Texas Tech University,Lubbock,Lubbock
48283,La Salle,6537,15.5,"(13.4, 17.4)",16.6,0,0,0.0,No,28.3449024,-99.0996759,63.1,NCT06112418,Aeres Clinical Research,Laredo,Webb
48307,McCulloch,7452,15.5,"(13.5, 17.8)",11.9,0,0,0.0,No,31.1987276,-99.3474773,69.6,NCT07296484,Radiance Clinical Research,Lampasas,Lampasas
48087,Collingsworth,2563,15.5,"(14.0, 17.2)",12.7,0,0,0.0,No,34.9647956,-100.270066,90.0,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48141,El Paso,869880,15.4,"(13.6, 17.3)",15.3,4,4,0.46,Yes,31.7684878,-106.2345559,14.8,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso
48013,Atascosa,51784,15.4,"(13.4, 17.5)",14.0,0,0,0.0,No,28.8934294,-98.5269873,36.7,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar
48083,Coleman,7842,15.4,"(13.3, 17.6)",11.3,0,0,0.0,No,31.7729545,-99.4536074,49.5,NCT06112418,Hendrick Health,Abilene,Taylor
48395,Robertson,17267,15.4,"(13.4, 17.5)",12.3,0,0,0.0,No,31.026874,-96.5129529,49.4,NCT06906627,Baylor Scott & White,Temple,Bell
48373,Polk,54186,15.4,"(13.4, 17.9)",12.5,0,0,0.0,No,30.7925352,-94.8299647,49.9,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery
48447,Throckmorton,1526,15.4,"(13.8, 17.0)",11.0,0,0,0.0,No,33.1773997,-99.2123671,58.7,NCT06112418,Hendrick Health,Abilene,Taylor
48409,San Patricio,70660,15.4,"(13.4, 17.5)",13.9,0,0,0.0,No,28.0088796,-97.5181894,16.2,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48287,Lee,18240,15.4,"(13.3, 17.7)",12.4,0,0,0.0,No,30.3106142,-96.9656155,44.6,NCT06267391,"Texas Diabetes & Endocrinology, P.A.",Round Rock,Williamson
48349,Navarro,55635,15.3,"(13.4, 17.6)",13.5,0,0,0.0,No,32.0469348,-96.4726004,43.7,NCT06267391,Epic Medical Research,DeSoto,Dallas
48163,Frio,17987,15.3,"(13.4, 17.3)",16.5,0,0,0.0,No,28.8677769,-99.1082662,53.4,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar
48289,Leon,16538,15.3,"(13.2, 17.5)",11.4,0,0,0.0,No,31.2964125,-95.9958804,70.1,NCT07064473,"Velocity Clinical Research, Waco",Waco,McLennan
