stateabbr,countyname,countyfips,totalpopulation,diabetes_crudeprev,diabetes_crude95ci,diabetes_adjprev,diabetes_adj95ci
TX,Real,48385,2854,18.3,"(15.8, 20.8)",12.6,"(10.8, 14.5)"
TX,Morris,48343,12066,15.9,"(13.8, 18.0)",12.5,"(10.8, 14.3)"
TX,Stephens,48429,9343,13.8,"(11.9, 15.8)",11.8,"(10.2, 13.5)"
TX,Walker,48471,81268,13.3,"(11.5, 15.2)",13.8,"(11.9, 15.7)"
TX,Upshur,48459,43281,13.9,"(12.0, 16.1)",11.4,"( 9.8, 13.2)"
TX,Panola,48365,22838,13.8,"(11.9, 15.9)",11.3,"( 9.8, 13.0)"
TX,Carson,48065,5878,11.7,"(10.1, 13.5)",9.3,"( 8.0, 10.8)"
TX,Cooke,48097,43782,13.0,"(11.2, 15.2)",10.8,"( 9.2, 12.5)"
TX,Robertson,48395,17267,15.4,"(13.4, 17.5)",12.3,"(10.7, 14.1)"
TX,McMullen,48311,568,17.8,"(15.5, 20.2)",14.1,"(12.3, 16.2)"
TX,Bell,48027,393193,12.6,"(11.1, 14.3)",13.0,"(11.4, 14.7)"
TX,Irion,48235,1549,13.4,"(11.9, 15.0)",10.3,"( 9.1, 11.7)"
TX,Hardin,48199,58261,12.4,"(10.6, 14.2)",10.4,"( 8.9, 12.0)"
TX,Houston,48225,22066,16.8,"(14.6, 19.2)",13.5,"(11.7, 15.4)"
TX,Yoakum,48501,7468,13.5,"(11.7, 15.6)",13.0,"(11.3, 15.1)"
TX,Leon,48289,16538,15.3,"(13.2, 17.5)",11.4,"( 9.8, 13.1)"
TX,Hidalgo,48215,898471,17.4,"(15.3, 19.6)",17.7,"(15.6, 20.1)"
TX,Swisher,48437,6955,16.6,"(14.4, 18.8)",15.5,"(13.4, 17.6)"
TX,Freestone,48161,20441,14.7,"(12.7, 17.0)",11.9,"(10.2, 13.8)"
TX,Gillespie,48171,27733,13.6,"(11.5, 15.8)",9.5,"( 8.1, 11.1)"
TX,Harris,48201,4835125,13.2,"(11.6, 15.0)",13.2,"(11.6, 14.9)"
TX,Van Zandt,48467,64000,13.4,"(11.5, 15.5)",10.7,"( 9.2, 12.4)"
TX,Edwards,48137,1393,19.3,"(16.6, 22.2)",13.7,"(11.8, 15.8)"
TX,Bosque,48035,18996,14.3,"(12.2, 16.6)",10.5,"( 9.1, 12.2)"
TX,Jefferson,48245,251496,15.6,"(13.7, 17.8)",14.2,"(12.4, 16.2)"
TX,Lamb,48279,12711,16.6,"(14.4, 18.7)",14.3,"(12.4, 16.3)"
TX,Calhoun,48057,19696,14.7,"(12.8, 16.7)",12.2,"(10.6, 13.9)"
TX,Polk,48373,54186,15.4,"(13.4, 17.9)",12.5,"(10.9, 14.4)"
TX,Crosby,48107,4917,17.1,"(15.0, 19.4)",14.6,"(12.7, 16.6)"
TX,Wilson,48493,54183,13.1,"(11.4, 15.1)",11.0,"( 9.5, 12.6)"
TX,Sabine,48403,10106,16.6,"(14.0, 19.1)",11.1,"( 9.3, 12.8)"
TX,Wheeler,48483,4804,14.7,"(13.4, 16.1)",11.8,"(10.8, 12.8)"
TX,Burleson,48051,19475,14.0,"(11.9, 16.2)",11.0,"( 9.4, 12.9)"
TX,Hall,48191,2818,17.5,"(15.3, 20.0)",13.6,"(11.8, 15.5)"
TX,Ector,48135,164494,12.8,"(11.1, 14.7)",13.6,"(11.8, 15.6)"
TX,Tyler,48457,20382,15.3,"(13.2, 17.6)",12.7,"(10.8, 14.7)"
TX,Hill,48217,38101,14.2,"(12.2, 16.3)",11.5,"( 9.9, 13.2)"
TX,Bastrop,48021,110778,13.4,"(11.6, 15.4)",12.0,"(10.3, 13.8)"
TX,Montgomery,48339,711354,11.4,"( 9.7, 13.2)",10.4,"( 8.9, 12.2)"
TX,Gray,48179,20916,13.9,"(11.8, 15.9)",12.4,"(10.6, 14.3)"
TX,Lampasas,48281,23262,14.0,"(12.1, 16.2)",11.0,"( 9.5, 12.6)"
TX,Karnes,48255,15018,14.0,"(12.1, 15.9)",14.4,"(12.4, 16.3)"
TX,Hays,48209,280486,10.2,"( 8.8, 11.8)",10.8,"( 9.3, 12.5)"
TX,Matagorda,48321,36359,16.4,"(14.3, 18.6)",13.9,"(12.1, 15.8)"
TX,Cochran,48079,2509,18.6,"(16.4, 21.1)",17.1,"(15.1, 19.4)"
TX,Falls,48145,17286,16.1,"(14.1, 18.4)",13.8,"(12.1, 15.9)"
TX,Dawson,48115,12004,15.3,"(13.3, 17.5)",15.3,"(13.3, 17.5)"
TX,Collin,48085,1195359,9.5,"( 8.2, 10.9)",9.1,"( 7.8, 10.5)"
TX,Reagan,48383,3141,14.5,"(13.1, 15.8)",13.7,"(12.4, 14.9)"
TX,Kleberg,48273,30069,14.0,"(12.2, 15.9)",15.4,"(13.4, 17.6)"
TX,Dimmit,48127,8257,23.4,"(20.7, 26.2)",21.5,"(18.9, 24.3)"
TX,Shackelford,48417,3229,12.3,"(10.4, 14.2)",9.5,"( 8.1, 11.0)"
TX,McLennan,48309,268583,12.5,"(10.9, 14.2)",12.2,"(10.6, 13.9)"
TX,Milam,48331,25951,14.9,"(12.9, 17.1)",11.9,"(10.3, 13.6)"
TX,Roberts,48393,840,11.6,"( 9.8, 13.5)",8.9,"( 7.6, 10.3)"
TX,Kent,48263,734,12.9,"(11.0, 15.0)",9.3,"( 7.9, 10.8)"
TX,Throckmorton,48447,1526,15.4,"(13.8, 17.0)",11.0,"( 9.9, 12.2)"
TX,Colorado,48089,21117,14.9,"(12.8, 16.9)",11.6,"( 9.9, 13.2)"
TX,Midland,48329,177108,10.8,"( 9.3, 12.3)",11.4,"( 9.8, 13.0)"
TX,Nolan,48353,14306,16.5,"(14.3, 18.9)",14.0,"(12.1, 16.1)"
TX,Nueces,48355,352289,15.8,"(14.0, 17.7)",14.5,"(12.7, 16.3)"
TX,Brazos,48041,244703,9.7,"( 8.4, 11.3)",12.5,"(10.8, 14.4)"
TX,Fayette,48149,25474,13.8,"(11.8, 16.0)",10.1,"( 8.6, 11.7)"
TX,Lubbock,48303,320940,11.4,"( 9.8, 13.0)",12.0,"(10.4, 13.8)"
TX,Cass,48067,28659,15.7,"(13.6, 18.0)",12.0,"(10.4, 13.8)"
TX,Bowie,48037,91687,13.8,"(11.9, 15.8)",12.1,"(10.4, 13.9)"
TX,Potter,48375,114647,15.3,"(13.3, 17.4)",14.4,"(12.6, 16.5)"
TX,Culberson,48109,2196,19.3,"(16.7, 21.8)",16.2,"(13.9, 18.3)"
TX,Rockwall,48397,131307,9.4,"( 8.0, 10.8)",8.7,"( 7.4, 10.1)"
TX,San Patricio,48409,70660,15.4,"(13.4, 17.5)",13.9,"(12.1, 15.9)"
TX,Delta,48119,5520,13.7,"(12.5, 14.9)",10.9,"(10.0, 11.9)"
TX,Waller,48473,63553,11.1,"( 9.6, 12.7)",12.2,"(10.6, 14.0)"
TX,Glasscock,48173,1141,10.9,"( 9.6, 12.1)",9.9,"( 8.7, 11.0)"
TX,Tarrant,48439,2182947,11.7,"(10.2, 13.3)",11.4,"( 9.9, 13.0)"
