nct_id,title,study_status,study_type,phase,facility,facility_status,city,state,zip_code,latitude,longitude
NCT07064473,"EASi-PROTKT™ - A Study to Test Vicadrostat (BI 690517) Taken Together With Empagliflozin in People With Type 2 Diabetes, High Blood Pressure, and Cardiovascular Disease",RECRUITING,INTERVENTIONAL,PHASE3,Victorium Clinical Research,RECRUITING,Houston,Texas,77024,29.76328,-95.36327
NCT07064473,"EASi-PROTKT™ - A Study to Test Vicadrostat (BI 690517) Taken Together With Empagliflozin in People With Type 2 Diabetes, High Blood Pressure, and Cardiovascular Disease",RECRUITING,INTERVENTIONAL,PHASE3,Houston Research Institute,NOT_YET_RECRUITING,Houston,Texas,77079,29.76328,-95.36327
NCT07215559,"A Study of Macupatide (LY3532226) and Eloralintide (LY3841136), Alone or in Combination, in Adults With Obesity or Overweight and With Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE2,"Biopharma Informatic, LLC",RECRUITING,Houston,Texas,77043,29.76328,-95.36327
NCT07215559,"A Study of Macupatide (LY3532226) and Eloralintide (LY3841136), Alone or in Combination, in Adults With Obesity or Overweight and With Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE2,"PlanIt Research, PLLC",RECRUITING,Houston,Texas,77079,29.76328,-95.36327
NCT07215559,"A Study of Macupatide (LY3532226) and Eloralintide (LY3841136), Alone or in Combination, in Adults With Obesity or Overweight and With Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE2,"Research Physicians Network, LLC",RECRUITING,Houston,Texas,77089,29.76328,-95.36327
NCT07219602,A Study to Evaluate the Effect of Obicetrapib/Ezetimibe 10 mg Fixed-Dose Combination or Obicetrapib 10 mg Daily on Top of Guideline-Recommended Lipid-Lowering Therapy in Participants With Type 2 Diabetes and/or Metabolic Syndrome,RECRUITING,INTERVENTIONAL,PHASE3,Juno Research LLC - Medical Center,RECRUITING,Houston,Texas,77054,29.76328,-95.36327
NCT07271186,Study to Assess the Effects of Angiopoietin-like Protein 3 (ANGPTL3) Inhibition in Adult Participants With Diabetic Kidney Disease,RECRUITING,INTERVENTIONAL,PHASE2,"Juno Research, LLC",RECRUITING,Houston,Texas,77040,29.76328,-95.36327
NCT07271186,Study to Assess the Effects of Angiopoietin-like Protein 3 (ANGPTL3) Inhibition in Adult Participants With Diabetic Kidney Disease,RECRUITING,INTERVENTIONAL,PHASE2,Prolato Research LLC,RECRUITING,Houston,Texas,77054,29.76328,-95.36327
NCT07271186,Study to Assess the Effects of Angiopoietin-like Protein 3 (ANGPTL3) Inhibition in Adult Participants With Diabetic Kidney Disease,RECRUITING,INTERVENTIONAL,PHASE2,"Clinical Trial Network, LLC",RECRUITING,Houston,Texas,77074,29.76328,-95.36327
NCT07282600,"A Study of Eloralintide (LY3841136) in Participants With Obesity or Overweight, and Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE3,Juno Research,RECRUITING,Houston,Texas,77040,29.76328,-95.36327
NCT07296484,Trial Against INtractable Type 2 Diabetes (CAPTAIN-T2D),RECRUITING,INTERVENTIONAL,PHASE2,"Juno Research, LLC",RECRUITING,Houston,Texas,77040,29.76328,-95.36327
NCT07351045,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight Without Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE3,Elevate Clinical,RECRUITING,Houston,Texas,77058,29.76328,-95.36327
NCT07351045,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight Without Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE3,Houston Research Institute,RECRUITING,Houston,Texas,77079,29.76328,-95.36327
NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE3,"HRI ? Medical Center, LLC",RECRUITING,Houston,Texas,77004,29.76328,-95.36327
NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE3,"Juno Research, LLC",RECRUITING,Houston,Texas,77040,29.76328,-95.36327
NCT07392190,A Study of Eloralintide (LY3841136) in Participants With Persistent Obesity Who Are Treated With a Weekly Incretin,RECRUITING,INTERVENTIONAL,PHASE3,Juno Research,RECRUITING,Houston,Texas,77040,29.76328,-95.36327
NCT07400653,A Study to Learn About the Study Medicine (PF-08653944) in People With Obesity or Overweight and Type 2 Diabetes (T2D),RECRUITING,INTERVENTIONAL,PHASE3,Cardiovascular Specialists of Willowbrook,RECRUITING,Houston,Texas,77070,29.76328,-95.36327
NCT07415954,A Research Study Comparing How Well Different Doses of the Medicine NNC0662-0419 Lower Blood Sugar in People With Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE2,JCCT- Juno NW Houston,RECRUITING,Houston,Texas,77040,29.76328,-95.36327
NCT07502495,Phase 2 Trial of Icovamenib in Participants With Type 2 Diabetes Who Are Not Achieving Glycemic Targets,RECRUITING,INTERVENTIONAL,PHASE2,Synergy Groups Medical,RECRUITING,Houston,Texas,77061,29.76328,-95.36327
NCT07502508,Phase 2 Trial of Icovamenib in Participants With Type 2 Diabetes Mellitus Who Are Not Achieving Glycemic Targets While Using GLP-1-Based Therapy,RECRUITING,INTERVENTIONAL,PHASE2,Synergy Group Medical,RECRUITING,Houston,Texas,77061,29.76328,-95.36327
NCT07533175,AMAZE 2: A Research Study Investigating How Well the Medicine NNC0487-0111 Helps People With Excess Body Weight and Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,"PlanIt Research, PLLC",RECRUITING,Houston,Texas,77079,29.76328,-95.36327
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,JCCT- Juno NW Houston,RECRUITING,Houston,Texas,77040,29.76328,-95.36327
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,The Endocrine Center,RECRUITING,Houston,Texas,77079,29.76328,-95.36327
NCT07579702,Efficacy of the Omnipod® 6 System Compared With the Omnipod® 5 System,RECRUITING,INTERVENTIONAL,NA,Baylor College of Medicine,RECRUITING,Houston,Texas,77030,29.76328,-95.36327
NCT07589608,"A Study to Investigate Weight Management With Macupatide and Eloralintide, Alone or in Combination, in Adult Participants With Obesity or Overweight",RECRUITING,INTERVENTIONAL,PHASE2,"PlanIt Research, PLLC",RECRUITING,Houston,Texas,77079,29.76328,-95.36327
NCT07662213,"A Study to Find Out if the Study Drug Elecoglipron Helps Adults With Type 2 Diabetes Mellitus by Comparing it With Semaglutide, a Medicine Already Used to Treat Type 2 Diabetes Mellitus",RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Houston,Texas,77004,29.76328,-95.36327
NCT07662213,"A Study to Find Out if the Study Drug Elecoglipron Helps Adults With Type 2 Diabetes Mellitus by Comparing it With Semaglutide, a Medicine Already Used to Treat Type 2 Diabetes Mellitus",RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Houston,Texas,77040,29.76328,-95.36327
